key;title;year;month;day;journal;issn;volume;issue;pages;authors;url;language;publisher;location;abstract;notes;doi;keywords;pubmed_id;pmc_id;PDF files
rayyan-352339446;Evaluating Source Code Quality with Large Language Models: a comparative study - Proceedings of the XXIII Brazilian Symposium on Software Quality;2024.0;;;;;;;103–113;Sim\~{o}es, Igor Regis da Silva and Venson, Elaine;https://doi.org/10.1145/3701625.3701650;;Association for Computing Machinery;New York, NY, USA;;;10.1145/3701625.3701650;"Code Quality;Code Readability;Static Analysis;Software Engineering;LLM;ChatGPT.";;;z3JpxW-3701625.3701650_a3H.pdf
rayyan-352343071;Themes of Building LLM-Based Applications for Production: A Practitioner's View  -  2025 IEEE/ACM 4th International Conference on AI Engineering – Software Engineering for AI (CAIN);2025.0;;;;;;;;Mailach, A. and Simon, S. and Dorn, J. and Siegmund, N.;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11030002;;;;;;10.1109/CAIN66642.2025.00011;;;;Themes_of_Building_LLM-Based_Applications_for_Production_A_Practitioners_View_XBs.pdf
rayyan-352343105; Effect of Explainable Artificial Intelligence on Trust of Mental Health Professionals in an AI-Based System for Suicide Prevention  -  IEEE Access ;;;;;;;;;de Oliveira, A. C. and Azevedo, J. P. C. and Ruback, L. and Moreira, R. and Teixeira, S. S. and Teles, A. S.;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10945851;;;;;;10.1109/ACCESS.2025.3556245;;;;Effect_of_Explainable_Artificial_Intelligence_on_Trust_of_Mental_Health_Professionals_in_an_AI-Based_System_for_Suicide_Prevention_ESe.pdf
rayyan-352343111;Implementation and Evaluation of LLM-Based Conversational Systems on a Low-Cost Device  -  2024 IEEE Global Humanitarian Technology Conference (GHTC);2024.0;;;;;;;;Sakai, K. and Uehara, Y. and Kashihara, S.;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10771565;;;;;;10.1109/GHTC62424.2024.10771565;;;;Implementation_and_Evaluation_of_LLM-Based_Conversational_Systems_on_a_Low-Cost_Device_f5z.pdf
rayyan-352343145;Design, Validation, and Risk Assessment of LLM-Based Generative AI Systems Operating in the Legal Sector  -  2024 IEEE International Symposium on Systems Engineering (ISSE);2024.0;;;;;;;;Buchicchio, E. and Angelis, A. De and Moschitta, A. and Santoni, F. and Marco, L. S. and Carbone, P.;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10741134;;;;;;10.1109/ISSE63315.2024.10741134;;;;Design_Validation_and_Risk_Assessment_of_LLM-Based_Generative_AI_Systems_Operating_in_the_Legal_Sector_aRd.pdf
rayyan-352343152;Exploring Explainable AI in Large Language Models: Enhancing Transparency and Trust  -  2024 11th International Conference on Advances in Computing and Communications (ICACC);2024.0;;;;;;;;H, I. A. and Jo, A. A. and Raj, E. D.;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10845370;;;;;;10.1109/ICACC63692.2024.10845370;;;;Exploring_Explainable_AI_in_Large_Language_Models_Enhancing_Transparency_and_Trust.pdf
rayyan-352343231; Evaluation of Generative AI Models in Python Code Generation: A Comparative Study  -  IEEE Access ;;;;;;;;;Palla, D. and Slaby, A.;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10963975;;;;;;10.1109/ACCESS.2025.3560244;;;;Evaluation_of_Generative_AI_Models_in_Python_Code_Generation_A_Comparative_Study.pdf
rayyan-352343282;Understanding Performance Implications of LLM Inference on CPUs  -  2024 IEEE International Symposium on Workload Characterization (IISWC);2024.0;;;;;;;;Na, S. and Jeong, G. and Ahn, B. H. and Young, J. and Krishna, T. and Kim, H.;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10763564;;;;;;10.1109/IISWC63097.2024.00024;;;;Understanding_Performance_Implications_of_LLM_Inference_on_CPUs_AiO.pdf
rayyan-352343707; Efficient Prompting for LLM-Based Generative Internet of Things  -  IEEE Internet of Things Journal ;;;;;;;;;Xiao, B. and Kantarci, B. and Kang, J. and Niyato, D. and Guizani, M.;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10705427;;;;;;10.1109/JIOT.2024.3470210;;;;Efficient_Prompting_for_LLM-Based_Generative_Internet_of_Things_zcE.pdf
rayyan-352344694; Improving the Efficiency of LLM Inference Serving Systems  -  Lecture Notes in Computer Science ;2025.0;;;;;;;;K and Papaioannou and Konstantinos and T and Doudali, Dimitra and Thaleia;https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008645828&doi=10.1007%2F978-3-031-90203-1_39&partnerID=40&md5=a1e28d3c7b68c4b807b4bf3cb1cdb4ab;;;;;;10.1007/978-3-031-90203-1_39;;;;978-3-031-90203-1_39_V_Z.pdf
rayyan-352344746; The Importance of Workload Choice in Evaluating LLM Inference Systems  -  nan ;2024.0;;;;;;;;K and Papaioannou and Konstantinos and T.D and Doudali and Dimitra, Thaleia;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192271316&doi=10.1145%2F3642970.3655823&partnerID=40&md5=62785d8738f8a9d9854252d278e7c24d;;;;;;10.1145/3642970.3655823;;;;3642970.3655823_5mD.pdf
ref-20;we need structured output”: Towards user-centered constraints on large lan- guage model output;2024.0;;;;;;;;Liu, M.X., Liu, F., Fiannaca, A.J., Koo, T., Dixon, L., Terry, M., Cai, C.J.;https://doi.org/10.1145/3613905.3650756;;;;;Snowballing;10.1145/3613905.3650756;;;;
ref-34;Token-budget- aware llm reasoning;2025.0;;;;;;;;Han, T., Wang, Z., Fang, C., Zhao, S., Ma, S., Chen, Z.;https://doi.org/10.18653/v1/2025.findings-acl;;;;;Snowballing;10.18653/v1/2025.findings-acl;;;;
ref-50;Unboxing default argument breaking changes in data science libraries;2025.0;;;;;;;;Montandon, J.E., Silva, L.L., Politowski, C., Prates, D., Brito Bonif´ acio, A., Bous- saidi, G.E.;https://doi.org/10.48550/arXiv.2408.05129;;;;;Snowballing;10.48550/arXiv.2408.05129;;;;
ref-57;I depended on you and you broke me: An empirical study of manifesting breaking changes in client packages;2023.0;;;;;;;;Venturini, D., Cogo, F.R., Polato, I., Gerosa, M.A., Wiese, I.S.;https://doi.org/10.48550/arXiv.2301.04563;;;;;Snowballing;10.48550/arXiv.2301.04563;;;;
ref-58;Bump: A benchmark of reproducible breaking dependency updates;2024.0;;;;;;;;Reyes, F., Gamage, Y., Skoglund, G., Baudry, B., Monperrus, M.;https://doi.org/10.48550/arXiv.2401.09906;;;;;Snowballing;10.48550/arXiv.2401.09906;;;;
ref-59;Ensuring Reproducibility in Generative AI Systems for General Use Cases: A Framework for Regression Testing and Open Datasets;;;;;;;;;Morishige, M., Koshihara, R.;https://doi.org/10.48550/arXiv.2505.02854;;;;;Snowballing;10.48550/arXiv.2505.02854;;;;
ref-63;Position is power: System prompts as a mechanism of bias in large language models (llms);2025.0;;;;;;;;Neumann, A., Kirsten, E., Zafar, M.B., Singh, J.;https://doi.org/10.1145/3715275.3732038;;;;;Snowballing;10.1145/3715275.3732038;;;;
ref-35;Adaptively Robust LLM Inference Optimization under Prediction Uncertainty;2025.0;;;;;;;;Chen, Z., Ye, Y., Zhou, Z.;https://arxiv.org/abs/2508.14544;;;;;Snowballing;;;;;
ref-49;Turning up the heat: Min-p sampling for creative and coherent llm outputs;2025.0;;;;;;;;Minh, N.N., Baker, A., Neo, C., Roush, A.G., Kirsch, A., Shwartz-Ziv, R.;;;;;;Snowballing;;;;;
ref-56;Best practices for scientific computing;2014.0;;;;;;;;Wilson, G., Aruliah, D.A., Brown, C.T., Chue Hong, N.P., Davis, M., Guy, R.T., Haddock, S.H.D., Huff, K.D., Mitchell, I.M., Plumbley, M.D., Waugh, B., White, E.P., Wilson, P.;;;;;;Snowballing;;;;;
ref-62;System Message Generation for User Preferences using Open-Source Models;2025.0;;;;;;;;Jeong, M., Cho, J., Khang, M., Jung, D., Hong, T.;https://arxiv.org/abs/;;;;;Snowballing;;;;;
lit-renes-wang-2024;Reasoning in Token Economies: Budget-Aware Evaluation of LLM Reasoning Strategies;2024.0;November;;Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing;;;;19916-19939;Junlin Wang, Siddhartha Jain, Dejiao Zhang, Baishakhi Ray, Varun Kumar, Ben Athiwaratkun;https://aclanthology.org/2024.emnlp-main.1112/;English;Association for Computational Linguistics;Miami, Florida, USA;;Snowballing;10.18653/v1/2024.emnlp-main.1112;LLM reasoning, compute budget, evaluation, chain-of-thought;;;
lit-renes-wen-2025;BudgetThinker: Empowering Budget-aware LLM Reasoning with Control Tokens;2025.0;;;arXiv preprint;;;;;Hao Wen, Xinrui Wu, Yi Sun, Feifei Zhang, Liye Chen, Jie Wang, Yunxin Liu, Yunhao Liu, Ya-Qin Zhang, Yuanchun Li;https://arxiv.org/abs/2508.17196;English;arXiv;;;Snowballing;10.48550/arXiv.2508.17196;LLM reasoning, budget-aware, control tokens, reinforcement learning;;;
lit-rvp-vasu-2025;FastVLM: Efficient Vision Encoding for Vision Language Models;2025.0;;;Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR 2025);;;;;Pavan Kumar Anasosalu Vasu, Fartash Faghri, Chun-Liang Li, Cem Koc, Nate True, Albert Antony, Gokul Santhanam, James Gabriel, Peter Grasch, Oncel Tuzel, Hadi Pouransari;https://arxiv.org/abs/2412.13303;English;IEEE;;;Snowballing;10.48550/arXiv.2412.13303;vision-language models, high-resolution images, vision tokens, latency;;;
lit-rvp-qian-2025;Zoomer: Adaptive Image Focus Optimization for Black-box MLLM;2025.0;April;;arXiv preprint;;;;;Jiaxu Qian, Chendong Wang, Yifan Yang, Chaoyun Zhang, Huiqiang Jiang, Xufang Luo, Yu Kang, Qingwei Lin, Anlan Zhang, Shiqi Jiang, Ting Cao, Tianjun Mao, Suman Banerjee, Guyue Liu, Saravan Rajmohan, Dongmei Zhang, Yuqing Yang, Qi Zhang, Lili Qiu;https://arxiv.org/abs/2505.00742;English;arXiv;;;Snowballing;10.48550/arXiv.2505.00742;vision-language models, image cropping, token budget, black-box MLLM;;;
lit-rvp-lee-2025;ERGO: Efficient High-Resolution Visual Understanding for Vision-Language Models;2025.0;September;;arXiv preprint;;;;;Jewon Lee, Wooksu Shin, Seungmin Yang, Ki-Ung Song, DongUk Lim, Jaeyeon Kim, Tae-Ho Kim, Bo-Kyeong Kim;https://arxiv.org/abs/2509.21991;English;arXiv;;;Snowballing;10.48550/arXiv.2509.21991;vision-language models, high-resolution images, vision tokens, coarse-to-fine reasoning;;;